Idx,Delta_X,Delta_Y,Delta_Z,Distance (mm),Angle (o),,Direction
1,1589.91,0.66,-22.93,1590.075479,89.9762155,90.0237845,M
2,1092.39,0.12,-24.13,1092.65648,89.99370601,90.00629399,M
3,654.96,0.7,-23.56,655.383983,89.93876415,90.06123585,M
4,368.77,0.1,-25.01,369.6171303,89.984463,90.015537,M
5,1555.41,836.13,-21.47,1766.03358,61.73919466,118.2608053,L
6,975.01,931.99,-22.8,1348.988399,46.29231591,133.7076841,L
7,347.57,532.87,-24.34,636.6692842,33.11481849,146.8851815,L
8,1552.52,-1132.48,-23.09,1921.812282,126.1087436,53.8912564,R
9,955.68,-931.28,-24.69,1334.622155,134.2591581,45.7408419,R
10,434.45,-592.09,-24.61,734.7945445,143.7303916,36.2696084,R
11,435.52,-447.66,-25.26,625.0721667,135.7875257,44.2124743,R
12,817.68,-857.48,-25.93,1185.13497,136.36103,43.63897,R
13,1256.97,-1290.63,-25.3,1801.760103,135.7569727,44.2430273,R
